NEIGHBOURHOOD,TYPE
Arbutus Ridge,1.0
Central Business District,27.6
Dunbar-Southlands,1.4
Fairview,5.7
Grandview-Woodland,5.1
Hastings-Sunrise,3.4
Kensington-Cedar Cottage,4.5
Kerrisdale,1.2
Killarney,1.6
Kitsilano,4.8
Marpole,2.5
Mount Pleasant,6.6
Musqueam,0.1
Oakridge,1.1
Renfrew-Collingwood,5.8
Riley Park,2.4
Shaughnessy,1.1
South Cambie,1.3
Stanley Park,0.2
Strathcona,8.3
Sunset,2.9
Victoria-Fraserview,1.7
West End,8.3
West Point Grey,1.3
