,location,nbr_relation,food_worry,apprch_bside,hlth_happy,chat_often,rlns_safe,age,gender,household,rln_status,work_paid,work_vol,walk_aid,imm_status,bside_dur,bside_pre,bside_pre_muni
64,MOUNT PLEASANT,2,1,2,2,2,4,8,2,1,1,3,2,2,1,4,1,1
65,MOUNT PLEASANT,2,2,2,2,2,4,8,1,1,1,3,3,2,1,3,2,1
66,MOUNT PLEASANT,3,2,2,2,2,4,8,1,1,1,2,2,2,1,3,2,1
67,GORDONFAHRNI,2,1,1,2,3,4,8,1,1,1,4,3,1,0,2,3,1
68,GORDONFAHRNI,2,1,1,1,1,4,9,2,1,1,3,3,2,1,4,2,1
69,GORDONFAHRNI,2,1,1,2,3,4,7,1,1,4,2,3,2,1,4,2,1
70,BURRARD MANOR,2,1,1,3,2,4,9,1,1,3,3,3,1,1,2,2,1
71,MORELAND KENNEDY,2,1,1,2,2,3,7,2,1,3,4,2,2,1,4,1,1
72,MORELAND KENNEDY,2,1,3,3,2,4,8,1,1,3,3,3,1,0,4,2,1
73,HARWOOD MANOR,2,1,2,4,2,4,7,2,1,1,4,3,2,1,4,2,1
74,HARWOOD MANOR,2,1,2,3,3,4,8,1,1,1,3,3,2,1,3,2,1
75,FLORENCE MANOR,2,1,1,3,2,4,7,2,1,1,3,2,2,1,4,0,1
76,FLORENCE MANOR,2,1,1,1,2,5,8,2,1,3,3,2,2,1,4,2,0
77,GORDONFAHRNI,3,1,2,2,2,4,9,1,1,4,3,3,1,0,4,2,1
78,COLLINGWOOD TOWER,2,1,3,3,2,4,7,1,1,1,4,3,2,0,4,2,1
79,COLLINGWOOD TOWER,2,1,3,2,2,4,8,1,1,1,3,3,2,1,3,2,1
80,MAGNOLO MANOR,2,1,1,1,1,4,8,1,0,2,3,3,2,0,2,2,0
81,MAGNOLO MANOR,2,1,1,2,1,5,9,1,0,2,3,3,1,1,4,2,1
82,MAGNOLO MANOR,3,1,2,2,2,4,9,1,1,1,3,3,2,1,4,2,1
83,MAGNOLO MANOR,2,1,1,2,2,5,9,1,1,1,3,2,2,1,2,2,1
84,BURRARD MANOR,2,1,1,2,2,4,8,1,1,1,3,3,2,0,4,3,0
85,BURRARD MANOR,2,1,1,2,1,5,9,1,1,1,3,2,2,1,4,2,1
86,BURRARD MANOR,2,1,3,2,2,4,9,1,1,3,4,3,2,1,4,2,1
87,BURRARD MANOR,2,1,2,3,2,4,8,1,1,1,3,3,2,0,4,2,1
88,COLEOPY PARK,2,2,2,2,2,4,8,2,1,2,3,3,2,0,4,2,1
89,ARBUTUS COURT,1,3,4,3,2,4,9,2,0,2,3,3,1,0,4,2,1
90,ARBUTUS COURT,2,1,1,2,2,5,9,1,1,4,3,3,2,0,4,2,0
91,GLYNN MANOR,3,3,1,2,3,3,4,3,1,1,4,3,2,1,4,3,1
92,GLYNN MANOR,2,4,3,4,3,4,6,1,1,1,4,3,2,0,4,2,1
93,WALLACE WILSON,3,1,1,1,2,5,8,1,1,1,3,3,2,1,3,5,0
94,SOROPTIMIST LIONS,1,1,5,4,3,2,7,1,1,1,4,2,2,1,3,2,1
95,SOROPTIMIST LIONS,2,3,3,3,1,4,8,2,1,1,4,3,2,1,4,5,1
96,SOROPTIMIST LIONS,3,1,1,2,2,3,7,1,1,1,1,3,2,1,4,2,1
97,LIONS VIEW BLDG I,2,1,1,2,4,4,9,1,1,1,3,3,2,0,4,3,1
98,LIONS VIEW BLDG I,2,3,1,2,2,4,8,1,1,3,3,3,2,0,4,2,1
99,SOROPTIMIST LIONS,2,1,4,4,3,2,9,1,1,3,3,3,1,0,4,1,1
100,BRIDGEVIEW PLACE,2,1,2,2,1,4,9,1,1,3,3,3,2,1,4,2,1
101,BRIDGEVIEW PLACE,2,1,1,2,1,4,8,1,1,3,2,3,2,0,4,2,1
102,BRIDGEVIEW PLACE,2,1,1,4,2,4,9,1,1,1,4,3,2,1,3,2,1
103,BRIDGEVIEW PLACE,2,1,2,2,3,5,9,1,1,1,3,3,1,0,4,2,1
104,BRIDGEVIEW PLACE,2,1,2,3,3,3,8,2,1,1,2,3,2,1,4,2,1
105,BRIDGEVIEW PLACE,2,1,4,2,1,5,8,1,1,1,3,2,1,1,4,2,1
106,HARWOOD MANOR,2,1,1,3,3,4,7,2,1,1,2,2,2,0,4,2,0
107,HARWOOD MANOR,3,3,1,3,2,4,7,1,1,3,1,3,2,0,4,2,1
108,GORDONFAHRNI,2,5,2,4,2,5,9,1,1,4,4,3,1,1,2,2,1
109,GORDONFAHRNI,2,1,1,1,2,5,8,2,1,1,3,3,2,0,2,2,1
110,GORDONFAHRNI,2,1,2,3,2,5,8,2,1,1,2,3,2,0,4,2,1
111,ALICE SAUNDERS,2,1,1,2,2,4,8,1,1,1,3,3,1,1,4,2,1
112,ALICE SAUNDERS,3,1,1,2,1,4,8,2,1,1,3,3,2,1,4,2,1
113,MOUNT PLEASANT,2,1,2,2,1,4,8,2,1,1,3,3,2,1,4,2,1
114,GLYNN MANOR,2,2,4,5,2,4,6,3,1,1,2,3,2,1,2,2,0
115,GLYNN MANOR,3,3,2,2,3,2,7,3,1,1,3,3,1,1,4,2,1
116,GLYNN MANOR,1,2,2,2,4,3,8,1,1,1,3,3,2,1,4,2,1
117,LIONS VIEW BLDG II,2,3,2,4,2,5,7,1,1,1,3,3,2,1,4,2,0
118,LIONS VIEW BLDG II,3,1,2,4,1,5,8,1,1,1,2,2,2,1,4,2,0
119,COLEOPY PARK,2,2,2,3,3,4,8,2,1,2,3,3,1,0,4,2,1
120,COLLINGWOOD TOWER,2,1,2,2,1,4,9,1,1,4,3,3,2,0,3,1,1
121,LOYAL ORANGE,2,1,3,4,2,4,9,1,1,1,3,3,2,1,4,2,1
122,LOYAL ORANGE,3,1,1,2,1,4,7,1,1,3,4,2,2,1,3,4,1
123,LIONS VIEW BLDG III,2,1,2,2,2,5,8,1,1,1,3,3,2,0,4,2,1
124,LIONS VIEW BLDG III,2,1,5,4,4,4,9,2,1,4,3,3,1,0,2,1,0
125,LIONS VIEW BLDG III,2,1,2,2,1,4,8,1,1,1,2,1,2,1,4,2,1
126,LIONS VIEW BLDG III,2,1,5,4,2,4,7,1,1,1,3,3,2,1,4,2,1
127,LIONS VIEW BLDG I,2,1,2,2,2,5,9,1,1,3,3,3,2,1,4,2,1
128,LIONS VIEW BLDG I,3,1,1,2,1,4,8,2,1,1,3,3,2,1,4,1,1
129,LIONS VIEW BLDG I,2,1,1,2,2,4,7,2,1,3,3,3,2,1,4,2,0
130,LIONS VIEW BLDG I,2,1,2,2,2,5,7,2,1,1,3,2,2,1,4,2,0
131,LIONS VIEW BLDG I,3,1,4,3,2,4,9,2,1,1,3,3,2,0,4,1,1
132,LIONS VIEW BLDG II,2,1,2,5,1,4,9,1,1,1,3,3,2,0,4,2,1
133,LIONS VIEW BLDG II,2,1,2,3,1,4,8,2,1,1,3,3,2,0,3,2,1
134,LIONS VIEW BLDG II,3,2,1,2,1,4,9,1,1,3,3,3,2,1,4,2,1
135,LIONS VIEW BLDG II,1,1,2,3,2,3,9,1,1,1,3,3,1,1,4,2,1
136,FLORENCE MANOR,3,2,1,4,2,4,8,1,1,1,3,3,2,1,2,6,1
137,FLORENCE MANOR,2,1,2,2,2,5,9,1,1,3,3,2,1,1,4,2,1
138,GLYNN MANOR,2,2,2,2,1,5,4,2,1,1,2,3,2,1,2,2,1
139,BRIDGEVIEW PLACE,2,2,1,3,1,5,5,1,1,3,2,3,2,0,3,2,0
140,BRIDGEVIEW PLACE,2,1,1,3,2,5,8,1,1,3,3,3,1,0,4,2,1
141,BRIDGEVIEW PLACE,2,1,1,2,1,4,9,1,1,4,3,3,2,1,4,1,1
142,BRIDGEVIEW PLACE,2,1,3,2,1,4,6,1,0,1,1,3,2,1,4,2,1
143,BRIDGEVIEW PLACE,2,1,1,2,1,5,9,1,1,3,3,3,2,1,4,2,1
144,LONDONDERRY,2,1,3,3,3,1,8,1,1,3,3,3,2,0,2,1,1
145,LONDONDERRY,2,1,3,2,2,4,8,1,1,1,3,3,2,0,4,2,1
146,LONDONDERRY,2,1,5,2,5,1,8,0,1,1,3,3,2,1,3,2,1
147,BRIDGEVIEW PLACE,3,1,1,2,2,4,9,1,1,1,3,3,2,0,4,2,1
148,BRIDGEVIEW PLACE,2,2,1,3,2,4,9,1,1,4,3,3,1,0,4,2,1
